"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"472";"Panama";"Colombia";"Peru";"Colombia";"Mexico";"Costa Rica";"Venezuela";"Mexico";"Mexico";"Mexico"
"473";"United States";"United States";"United States";"United States";"United States";"United States";"United States";"Russia";"Canada";"United States"
"474";"Russia";"Russia";"Japan";"Philippines";"Japan";"Japan";"Japan";"South Korea";"Japan";"Japan"
"475";"China";"China";"China";"China";"China";"Taiwan";"China";"Taiwan";"China";"China"
"476";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"477";"Japan";"South Korea";"Japan";"South Korea";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan"
"478";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"479";"China";"China";"Hong Kong";"Hong Kong";"China";"China";"China";"China";"China";"China"
"480";"Taiwan";"Taiwan";"International";"Taiwan";"Taiwan";"Hong Kong";"International";"Hong Kong";"China";"Taiwan"
"481";"Indonesia";"Singapore";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"482";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Japan";"Thailand"
"483";"Japan";"Japan";"Japan";"Japan";"South Korea";"South Korea";"South Korea";"Japan";"Japan";"Japan"
"484";"Thailand";"South Korea";"China";"China";"China";"China";"China";"China";"China";"China"
"485";"China";"Taiwan";"International";"International";"Taiwan";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong"
"486";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"487";"India";"India";"India";"India";"India";"India";"Australia";"Australia";"India";"India"
"488";"Sweden";"Russia";"Finland";"Russia";"United Kingdom";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"489";"Bulgaria";"Russia";"Spain";"Poland";"Russia";"Czech Republic";"Poland";"Lithuania";"Finland";"Lithuania"
"490";"Chile";"Chile";"Argentina";"Argentina";"Argentina";"Chile";"Chile";"Chile";"Chile";"Chile"
"491";"South Korea";"Japan";"Japan";"Japan";"Japan";"Japan";"South Korea";"South Korea";"Japan";"Japan"
"492";"China";"Taiwan";"Taiwan";"Taiwan";"China";"China";"China";"China";"China";"China"
"493";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Singapore";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"494";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan";"Japan"
"495";"Australia";"China";"China";"China";"Australia";"China";"China";"Taiwan";"China";"China"
"496";"Taiwan";"Malaysia";"Taiwan";"Malaysia";"Taiwan";"International";"International";"Taiwan";"International";"International"
"497";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"498";"Thailand";"Thailand";"Thailand";"Japan";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"499";"Japan";"South Korea";"Japan";"Japan";"Japan";"Japan";"South Korea";"Japan";"Japan";"Japan"
"500";"Singapore";"Thailand";"Singapore";"Vietnam";"Singapore";"Singapore";"Malaysia";"Singapore";"Singapore";"Singapore"
"501";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"502";"Taiwan";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"503";"International";"International";"International";"Hong Kong";"International";"Taiwan";"Taiwan";"Taiwan";"Hong Kong";"International"
"504";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"505";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"International";"Singapore";"Malaysia";"Singapore"
"506";"Vietnam";"India";"Singapore";"India";"India";"India";"India";"India";"India";"India"
"507";"Finland";"Russia";"Sweden";"Poland";"United Kingdom";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"508";"France";"Poland";"Denmark";"Lithuania";"Spain";"Belgium";"Belgium";"France";"France";"France"
"509";"Dominican Republic";"Colombia";"Colombia";"Colombia";"Guatemala";"Colombia";"Costa Rica";"Colombia";"Colombia";"Colombia"
"510";"Thailand";"China";"South Korea";"China";"China";"Australia";"Australia";"China";"China";"China"
"511";"Japan";"Japan";"Japan";"Japan";"Japan";"Indonesia";"Philippines";"Philippines";"Indonesia";"Indonesia"
"512";"China";"China";"China";"China";"China";"Taiwan";"China";"China";"China";"China"
"513";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea"
"514";"China";"China";"Taiwan";"Taiwan";"China";"China";"China";"China";"China";"China"
"515";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"516";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Spain";"Portugal";"Spain";"Portugal"
"517";"Germany";"Estonia";"Germany";"Denmark";"Germany";"Germany";"Czech Republic";"Germany";"Germany";"Germany"
"518";"Philippines";"Philippines";"India";"India";"Sri Lanka";"India";"United Kingdom";"Croatia";"India";"India"
"519";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Slovenia";"Slovakia"
"520";"Italy";"Russia";"Russia";"Italy";"Italy";"Russia";"Italy";"Italy";"Italy";"Italy"
"521";"Netherlands";"Portugal";"Poland";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal"
"522";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"523";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal"
"524";"Israel";"Israel";"Poland";"Germany";"Denmark";"Poland";"Poland";"Poland";"Poland";"Poland"
"525";"United States";"Canada";"Brazil";"Brazil";"United Kingdom";"United States";"United States";"United States";"United States";"United States"
"526";"Estonia";"Italy";"Italy";"Italy";"Lithuania";"Italy";"Sweden";"Poland";"Italy";"Italy"
"527";"Czech Republic";"Czech Republic";"England";"Czech Republic";"Czech Republic";"Hungary";"Hungary";"Hungary";"Hungary";"Hungary"
"528";"Italy";"Czech Republic";"Italy";"Italy";"Italy";"Portugal";"Italy";"Czech Republic";"Italy";"Italy"
"529";"Argentina";"Chile";"Colombia";"Chile";"Chile";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"530";"China";"China";"Hong Kong";"Hong Kong";"China";"China";"Taiwan";"China";"Taiwan";"Taiwan"
"531";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Malaysia";"Singapore";"Singapore";"Indonesia";"Indonesia"
"532";"China";"China";"China";"China";"China";"China";"China";"China";"China";"Taiwan"
"533";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"Japan";"Japan";"Japan";"Japan"
"534";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"535";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal"
"536";"Germany";"Germany";"Poland";"Germany";"Finland";"United Kingdom";"Germany";"Germany";"Czech Republic";"Germany"
"537";"Philippines";"India";"Philippines";"India";"India";"Russia";"India";"Russia";"India";"India"
"538";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal"
"539";"Poland";"Poland";"Poland";"Poland";"Poland";"Poland";"Slovenia";"Poland";"Serbia";"Macedonia"
"540";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Poland";"Netherlands";"Portugal"
"541";"Hungary";"Hungary";"Hungary";"Hungary";"Hungary";"Israel";"Poland";"Germany";"United Kingdom";"Czech Republic"
"542";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Belarus";"Turkey";"Russia"
"543";"Czech Republic";"Italy";"Italy";"Portugal";"Italy";"Lithuania";"Italy";"Estonia";"Italy";"Italy"
"544";"Portugal";"Spain";"Portugal";"Portugal";"Spain";"Portugal";"Portugal";"Slovakia";"Slovenia";"Portugal"
"545";"Germany";"Israel";"Denmark";"Israel";"Poland";"England";"Czech Republic";"Czech Republic";"Czech Republic";"Czech Republic"
"546";"Brazil";"Brazil";"Argentina";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"547";"Italy";"Russia";"Russia";"Italy";"Italy";"Czech Republic";"Italy";"Italy";"Italy";"Italy"
"548";"Czech Republic";"Poland";"Serbia";"Estonia";"Poland";"Greece";"Greece";"Greece";"Greece";"Greece"
"549";"Italy";"Russia";"Italy";"Israel";"Italy";"Italy";"Italy";"Russia";"Italy";"Italy"
"550";"United States";"United States";"Cambodia";"United States";"United States";"United States";"United States";"United States";"United States";"United States"
"551";"Indonesia";"Australia";"South Korea";"Canada";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea"
"552";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal"
"553";"Portugal";"Spain";"Portugal";"Portugal";"Spain";"Portugal";"Portugal";"Netherlands";"Poland";"Portugal"
"554";"Norway";"United Kingdom";"United Kingdom";"United Kingdom";"United Kingdom";"Lithuania";"Russia";"Denmark";"Denmark";"Denmark"
"555";"Russia";"Israel";"Italy";"Italy";"International";"Sweden";"Italy";"Poland";"Italy";"Italy"
"556";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Slovenia";"Slovakia"
"557";"Germany";"Germany";"Germany";"Austria";"Germany";"Germany";"Finland";"Germany";"Poland";"Germany"
"558";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"559";"Russia";"Italy";"Italy";"Russia";"Italy";"Estonia";"Lithuania";"Italy";"Italy";"Italy"
"560";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal"
"561";"Chile";"Chile";"Chile";"Argentina";"Chile";"United States";"United States";"Canada";"Latvia";"United States"
"562";"Portugal";"Czech Republic";"Italy";"Italy";"Italy";"Italy";"Italy";"Italy";"Russia";"Italy"
"563";"Germany";"Germany";"Germany";"Germany";"Czech Republic";"Germany";"United Kingdom";"Germany";"Czech Republic";"Germany"
"564";"Wales";"Denmark";"United Kingdom";"Denmark";"United Kingdom";"United Kingdom";"United Kingdom";"Ireland";"United Kingdom";"United Kingdom"
"565";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Singapore";"Indonesia";"Indonesia";"Indonesia"
"566";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"567";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"568";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"569";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"570";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"571";"Chile";"Argentina";"Argentina";"Argentina";"Chile";"Chile";"Brazil";"Chile";"Chile";"International"
"572";"Panama";"Colombia";"Peru";"Colombia";"Mexico";"Mexico";"Mexico";"Colombia";"Colombia";"Colombia"
"573";"China";"China";"China";"China";"China";"China";"China";"China";"China";"China"
"574";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"575";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"576";"China";"China";"China";"China";"China";"Russia";"Belarus";"China";"China";"China"
"577";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"578";"Malaysia";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore"
"579";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"580";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines";"Philippines"
"581";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"582";"China";"China";"China";"Hong Kong";"China";"China";"China";"China";"China";"China"
"583";"India";"Russia";"Russia";"India";"India";"Vietnam";"India";"Singapore";"India";"India"
"584";"Lithuania";"Poland";"Lithuania";"Finland";"Czech Republic";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"585";"Chile";"Chile";"Chile";"Chile";"Chile";"Chile";"Chile";"Brazil";"Uruguay";"Argentina"
"586";"United States";"Canada";"United States";"United States";"United States";"International";"International";"Canada";"International";"United States"
"587";"United States";"South Korea";"International";"United States";"Taiwan";"International";"United States";"Canada";"International";"International"
"588";"Ecuador";"International";"Guatemala";"Mexico";"Costa Rica";"Colombia";"Mexico";"Colombia";"Guatemala";"Costa Rica"
"589";"China";"Iran, Islamic Republic of";"China";"Taiwan";"New Zealand";"Singapore";"China";"China";"Taiwan";"China"
"590";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"591";"Australia";"Australia";"Australia";"Australia";"New Zealand";"Australia";"Australia";"Australia";"Australia";"New Zealand"
"592";"China";"China";"China";"China";"China";"China";"China";"China";"China";"Macao"
"593";"Australia";"Australia";"Australia";"Australia";"Australia";"New Zealand";"Australia";"Australia";"New Zealand";"Australia"
"594";"Taiwan";"Taiwan";"Malaysia";"Taiwan";"Malaysia";"Hong Kong";"Taiwan";"International";"Taiwan";"Taiwan"
"595";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia";"Indonesia"
"596";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"597";"Singapore";"Vietnam";"Singapore";"Thailand";"Singapore";"Singapore";"Singapore";"Malaysia";"Singapore";"International"
"598";"International";"International";"International";"International";"Taiwan";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong";"Hong Kong"
"599";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"600";"China";"China";"China";"China";"Taiwan";"China";"China";"China";"China";"China"
"601";"Malaysia";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore"
"602";"India";"Croatia";"United Kingdom";"India";"India";"India";"India";"India";"India";"India"
"603";"Sweden";"International";"International";"Turkey";"Ukraine";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"604";"Finland";"Sweden";"United Kingdom";"Russia";"Turkey";"Lithuania";"Poland";"Denmark";"Spain";"France"
"605";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"606";"China";"Philippines";"United States";"United States";"United States";"International";"Canada";"International";"International";"International"
"607";"United States";"United States";"United States";"United States";"United States";"South Korea";"Taiwan";"United States";"United States";"International"
"608";"United States";"South Korea";"United States";"Canada";"United States";"International";"Canada";"International";"Mexico";"International"
"609";"Thailand";"Canada";"United States";"United States";"Canada";"International";"Poland";"International";"International";"Poland"
"610";"Canada";"United States";"United States";"United States";"Brazil";"Canada";"United States";"United States";"South Korea";"Mexico"
"611";"United States";"Australia";"United States";"United States";"Canada";"Spain";"Vietnam";"United States";"Vietnam";"Canada"
"612";"United States";"Canada";"United States";"Denmark";"Canada";"International";"United States";"United States";"International";"United States"
"613";"United States";"Canada";"United States";"United States";"United States";"United States";"United States";"Canada";"United States";"United States"
"614";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"615";"China";"China";"China";"China";"China";"China";"Hong Kong";"China";"Hong Kong";"Hong Kong"
"616";"China";"China";"China";"China";"China";"China";"China";"Hong Kong";"China";"China"
"617";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"618";"Australia";"Australia";"Australia";"New Zealand";"Australia";"Australia";"Australia";"Australia";"Australia";"Australia"
"619";"China";"China";"China";"Singapore";"Taiwan";"China";"China";"China";"China";"China"
"620";"International";"Hong Kong";"Hong Kong";"International";"International";"Hong Kong";"China";"International";"Taiwan";"Hong Kong"
"621";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"622";"Australia";"Iran, Islamic Republic of";"Australia";"Australia";"Australia";"Australia";"United Kingdom";"Australia";"Australia";"Australia"
"623";"Singapore";"Singapore";"Singapore";"Singapore";"Singapore";"Malaysia";"Malaysia";"Malaysia";"Malaysia";"Malaysia"
"624";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam";"Vietnam"
"625";"International";"International";"Taiwan";"China";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"Taiwan";"International"
"626";"Thailand";"Thailand";"Japan";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand"
"627";"Singapore";"Singapore";"Singapore";"Malaysia";"Singapore";"Singapore";"Singapore";"Singapore";"Malaysia";"Singapore"
"628";"India";"India";"India";"India";"India";"Philippines";"India";"Philippines";"India";"India"
"629";"Sweden";"Russia";"Finland";"United Kingdom";"Russia";"Belgium";"France";"Belgium";"France";"France"
"630";"Russia";"Spain";"Russia";"Poland";"Bulgaria";"Lithuania";"Finland";"Russia";"Norway";"Spain"
"631";"Indonesia";"Indonesia";"Philippines";"Philippines";"Indonesia";"Japan";"Japan";"South Korea";"Japan";"Japan"
"632";"Hong Kong";"China";"Hong Kong";"Hong Kong";"China";"China";"China";"China";"China";"China"
"633";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea";"Indonesia";"Russia";"Malaysia";"Indonesia";"Singapore"
"634";"China";"China";"China";"Taiwan";"Singapore";"China";"China";"Macao";"China";"China"
"635";"Poland";"Portugal";"Portugal";"Netherlands";"Portugal";"Slovakia";"Portugal";"Portugal";"Portugal";"Slovenia"
"636";"Germany";"Israel";"Israel";"Denmark";"Poland";"Slovenia";"Poland";"Poland";"Serbia";"Macedonia"
"637";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal"
"638";"Hungary";"Hungary";"Hungary";"Hungary";"Hungary";"Poland";"Poland";"Poland";"Poland";"Poland"
"639";"Netherlands";"International";"Turkey";"Scotland";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"640";"Qatar";"Saudi Arabia";"Saudi Arabia";"Saudi Arabia";"Saudi Arabia";"Sweden";"Sweden";"Scotland";"Sweden";"Romania"
"641";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Israel";"Sweden";"Greece";"Israel";"Turkey"
"642";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"France";"France";"Belgium";"France";"France"
"643";"France";"France";"France";"France";"France";"France";"France";"France";"France";"France"
"644";"Portugal";"Portugal";"Spain";"Portugal";"Spain";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal"
"645";"Poland";"Poland";"Poland";"Poland";"Poland";"Germany";"Israel";"United Kingdom";"Czech Republic";"Poland"
"646";"France";"Belgium";"France";"France";"France";"Netherlands";"Lithuania";"Netherlands";"Netherlands";"United Kingdom"
"647";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Belarus";"Turkey";"Turkey";"Russia";"Turkey"
"648";"Italy";"Russia";"Italy";"Italy";"Italy";"Italy";"Poland";"Italy";"Italy";"Sweden"
"649";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Portugal";"Brazil";"Portugal"
"650";"France";"France";"France";"France";"France";"France";"France";"France";"France";"France"
"651";"United States";"United States";"United States";"United States";"United States";"Brazil";"Brazil";"Brazil";"Brazil";"Argentina"
"652";"Italy";"Italy";"Italy";"Italy";"Czech Republic";"Estonia";"Italy";"Italy";"Italy";"Lithuania"
"653";"Algeria";"France";"Ireland";"France";"France";"France";"France";"France";"France";"France"
"654";"Russia";"Russia";"Italy";"Italy";"Italy";"Italy";"Russia";"Italy";"Italy";"Israel"
"655";"France";"Czech Republic";"France";"Czech Republic";"France";"Belgium";"France";"United Kingdom";"Denmark";"Netherlands"
"656";"Chile";"Chile";"Argentina";"Chile";"Chile";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil"
"657";"Hong Kong";"Hong Kong";"China";"Hong Kong";"China";"China";"China";"China";"Macao";"China"
"658";"Japan";"Japan";"Japan";"Japan";"Japan";"South Korea";"South Korea";"Indonesia";"Canada";"Australia"
"659";"China";"China";"China";"China";"China";"China";"China";"Taiwan";"China";"Singapore"
"660";"Thailand";"Thailand";"Thailand";"Thailand";"Thailand";"South Korea";"South Korea";"South Korea";"South Korea";"South Korea"
"661";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"662";"Poland";"Finland";"Germany";"Germany";"Germany";"Germany";"Germany";"Germany";"Czech Republic";"Germany"
"663";"Russia";"Russia";"India";"India";"India";"Philippines";"India";"India";"Philippines";"India"
"664";"Hungary";"Hungary";"Hungary";"Hungary";"Hungary";"Poland";"Poland";"Poland";"Poland";"Poland"
"665";"France";"France";"France";"France";"France";"United Kingdom";"France";"Belgium";"Denmark";"Netherlands"
"666";"France";"France";"Belgium";"France";"France";"France";"France";"France";"France";"France"
"667";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey";"Turkey"
"668";"Czech Republic";"Czech Republic";"England";"Czech Republic";"Czech Republic";"United Kingdom";"Poland";"Germany";"Israel";"Czech Republic"
"669";"France";"Czech Republic";"France";"Czech Republic";"France";"France";"France";"France";"France";"France"
"670";"United States";"United States";"Latvia";"United States";"Canada";"United States";"Brazil";"Brazil";"United Kingdom";"Canada"
"671";"Greece";"Greece";"Greece";"Greece";"Greece";"Denmark";"Poland";"Israel";"Israel";"Germany"
"672";"France";"France";"France";"France";"France";"France";"France";"France";"France";"France"
"673";"Belgium";"Ireland";"France";"Algeria";"France";"Lithuania";"Netherlands";"Netherlands";"United Kingdom";"Netherlands"
"674";"Brazil";"Brazil";"Brazil";"Brazil";"Brazil";"Colombia";"Chile";"Chile";"Argentina";"Chile"
